state,city,datetime,crop_type,growth_stage,air_temperature_c,relative_humidity_%,rainfall_mm,wind_speed_mps,solar_radiation_wm2,soil_moisture_%,soil_temperature_c,soil_ph,irrigation_status,fertilizer_applied,pest_risk_level,crop_health_index,crop_duration_days,region
Bihar,Bhagalpur,2024-05-05 23:00:00,Lentil,Seedling,20.6,52.8,2.6,4.4,650.6,40.5,19.2,6.5,OFF,SSP,HIGH,66,166,East India
Haryana,Panipat,2023-02-24 01:00:00,Sugarcane,Harvest,35.2,83.6,9.3,3.1,396.4,60.9,32.7,6.9,OFF,SSP,HIGH,66,179,North India
Himachal Pradesh,Mandi,2024-09-09 22:00:00,Potato,Seedling,24.9,83.6,2.8,1.4,449.4,70.5,23.3,6.0,ON,MOP,LOW,77,179,North India
Goa,Margao,2023-06-25 11:00:00,Coconut,Seedling,31.4,66.7,7.2,2.9,507.5,63.3,29.9,5.8,OFF,UREA,MEDIUM,70,94,West India
Tamil Nadu,Tiruchirappalli,2023-12-20 04:00:00,Banana,Seedling,29.6,87.9,10.4,2.1,679.6,68.1,27.5,5.9,OFF,MOP,MEDIUM,84,179,South India
Nagaland,Mokokchung,2023-07-20 19:00:00,Soybean,Harvest,21.2,75.7,1.8,2.9,424.6,64.2,17.8,6.6,ON,DAP,MEDIUM,71,104,Northeast India
West Bengal,Siliguri,2024-08-04 23:00:00,Mustard,Germination,11.1,63.7,3.3,3.4,330.4,46.2,8.1,6.2,ON,NPK,MEDIUM,78,118,East India
West Bengal,Asansol,2023-10-18 03:00:00,Jute,Germination,25.1,87.0,14.4,6.1,530.0,68.8,22.8,5.7,ON,MOP,LOW,72,107,East India
Karnataka,Belagavi,2024-03-11 22:00:00,Groundnut,Harvest,27.8,57.3,1.9,4.7,399.4,43.6,25.6,6.2,OFF,NPK,MEDIUM,84,178,South India
Andhra Pradesh,Guntur,2023-02-13 13:00:00,Groundnut,Flowering,25.4,67.8,1.0,4.9,684.4,35.7,22.7,6.4,ON,ORGANIC,HIGH,58,104,South India
Bihar,Gaya,2024-07-15 15:00:00,Maize,Maturity,24.2,66.3,6.7,2.3,368.0,34.8,23.1,6.4,OFF,MOP,MEDIUM,61,176,East India
Assam,Guwahati,2023-04-10 17:00:00,Mustard,Harvest,21.0,44.2,4.4,1.4,257.9,34.5,19.2,7.4,OFF,NONE,LOW,69,136,Northeast India
Karnataka,Bengaluru,2024-04-17 10:00:00,Ragi,Maturity,21.2,53.4,5.7,3.7,794.0,41.4,18.2,6.7,OFF,ORGANIC,HIGH,57,155,South India
Haryana,Rohtak,2023-05-16 17:00:00,Rice,Seedling,26.1,71.5,10.1,0.6,537.9,74.3,22.5,6.0,OFF,NPK,HIGH,47,134,North India
Uttar Pradesh,Varanasi,2023-01-14 03:00:00,Sugarcane,Seedling,26.9,81.6,10.7,5.1,587.2,61.0,24.3,7.0,OFF,NPK,MEDIUM,90,177,North India
Mizoram,Lunglei,2023-05-23 19:00:00,Rice,Vegetative,27.7,90.5,12.9,5.5,647.5,64.9,25.9,6.5,ON,SSP,LOW,92,174,Northeast India
Meghalaya,Tura,2024-10-09 17:00:00,Orange,Harvest,19.8,79.4,3.7,3.6,320.8,45.6,15.9,6.1,ON,NONE,LOW,80,174,Northeast India
Andhra Pradesh,Visakhapatnam,2024-02-12 04:00:00,Rice,Maturity,30.9,80.3,8.6,2.3,467.3,70.4,27.7,6.4,OFF,NPK,LOW,90,144,South India
Odisha,Berhampur,2023-04-28 19:00:00,Sugarcane,Maturity,33.3,63.6,8.0,1.1,610.4,58.8,30.2,7.3,ON,SSP,LOW,81,168,East India
Bihar,Bhagalpur,2024-11-28 17:00:00,Maize,Seedling,21.9,68.1,6.1,5.9,533.7,54.8,19.0,6.3,OFF,SSP,LOW,86,139,East India
Rajasthan,Kota,2023-12-04 20:00:00,Cotton,Harvest,27.0,60.1,3.4,2.7,592.6,38.3,23.8,6.4,ON,UREA,MEDIUM,65,152,North India
Gujarat,Rajkot,2023-09-09 13:00:00,Bajra,Seedling,35.1,60.2,0,1.3,207.7,33.7,33.8,6.8,ON,DAP,LOW,79,155,West India
Punjab,Ludhiana,2023-10-13 21:00:00,Sugarcane,Harvest,27.8,61.1,6.9,5.7,244.5,73.3,26.2,6.4,OFF,NONE,HIGH,80,146,North India
Andhra Pradesh,Guntur,2023-02-26 09:00:00,Cotton,Vegetative,33.1,38.8,2.7,2.6,510.3,50.8,31.3,6.7,ON,ORGANIC,LOW,81,144,South India
Andhra Pradesh,Nellore,2024-08-25 08:00:00,Cotton,Harvest,31.8,51.4,1.4,3.2,314.8,32.0,29.0,5.9,OFF,SSP,LOW,74,175,South India
Nagaland,Mokokchung,2023-12-23 22:00:00,Rice,Fruiting,29.3,79.2,10.7,2.6,269.7,56.8,28.3,5.6,ON,ORGANIC,HIGH,69,97,Northeast India
Telangana,Warangal,2024-08-28 05:00:00,Cotton,Maturity,33.7,64.8,2.7,0.9,450.0,53.7,31.1,8.2,ON,MOP,HIGH,49,116,South India
Nagaland,Kohima,2024-10-11 14:00:00,Maize,Harvest,28.9,71.7,1.1,5.6,265.3,43.6,25.1,6.5,OFF,UREA,MEDIUM,82,156,Northeast India
Madhya Pradesh,Indore,2024-05-26 15:00:00,Chickpea,Vegetative,16.5,60.5,2.0,5.9,723.3,31.6,15.0,7.5,ON,DAP,MEDIUM,86,163,Central India
Tripura,Dharmanagar,2024-06-13 15:00:00,Jute,Maturity,24.7,88.5,10.2,2.4,498.9,67.6,21.3,6.5,ON,NONE,MEDIUM,71,91,Northeast India
Bihar,Muzaffarpur,2023-12-24 16:00:00,Maize,Seedling,23.3,56.6,3.7,3.6,514.0,59.6,20.2,6.8,OFF,MOP,LOW,88,117,East India
Rajasthan,Ajmer,2023-12-14 14:00:00,Cotton,Fruiting,33.5,62.7,4.6,1.4,400.8,36.1,30.7,6.7,ON,SSP,HIGH,51,159,North India
Telangana,Warangal,2023-11-23 13:00:00,Sugarcane,Harvest,40.6,63.8,6.3,1.8,787.2,70.0,36.9,6.4,OFF,DAP,MEDIUM,76,122,South India
Andhra Pradesh,Nellore,2024-01-21 12:00:00,Cotton,Fruiting,33.4,72.3,2.5,2.5,461.5,35.3,29.9,7.7,OFF,ORGANIC,MEDIUM,73,93,South India
Uttar Pradesh,Lucknow,2024-07-14 09:00:00,Mustard,Germination,16.8,48.7,3.9,0.6,652.2,51.3,14.5,7.3,OFF,NONE,MEDIUM,86,169,North India
Rajasthan,Udaipur,2023-03-12 13:00:00,Wheat,Harvest,19.3,53.9,2.7,2.1,264.3,46.0,17.5,6.3,ON,ORGANIC,MEDIUM,79,161,North India
Maharashtra,Solapur,2024-04-24 20:00:00,Rice,Flowering,27.9,83.2,10.7,3.5,774.0,49.9,26.1,6.3,ON,SSP,LOW,73,170,West India
Meghalaya,Jowai,2023-06-09 23:00:00,Ginger,Seedling,19.9,79.9,6.3,1.0,793.5,49.5,16.7,6.5,ON,MOP,HIGH,71,94,Northeast India
Uttarakhand,Nainital,2023-08-10 18:00:00,Wheat,Vegetative,21.3,61.3,3.5,0.8,231.2,46.9,19.9,6.7,ON,MOP,HIGH,62,96,North India
Himachal Pradesh,Dharamshala,2023-11-10 01:00:00,Ginger,Seedling,24.9,85.2,9.3,0.9,382.0,66.5,22.5,5.9,ON,ORGANIC,MEDIUM,74,112,North India
Gujarat,Surat,2023-06-08 20:00:00,Wheat,Vegetative,20.3,43.5,2.1,3.3,666.4,34.8,16.9,6.1,ON,UREA,MEDIUM,73,145,West India
West Bengal,Asansol,2024-01-04 03:00:00,Jute,Germination,32.7,74.7,15.0,2.3,424.6,82.8,31.4,7.0,ON,DAP,LOW,85,92,East India
Nagaland,Dimapur,2024-08-01 03:00:00,Soybean,Seedling,30.2,67.8,5.5,4.8,744.7,50.1,26.9,6.6,ON,DAP,MEDIUM,88,171,Northeast India
Goa,Vasco da Gama,2023-06-11 04:00:00,Coconut,Germination,28.4,76.6,9.1,4.6,575.4,63.3,25.1,7.3,OFF,NONE,HIGH,62,148,West India
Haryana,Hisar,2024-05-06 13:00:00,Mustard,Flowering,19.4,48.8,3.1,3.7,764.9,36.6,15.9,7.3,OFF,NONE,HIGH,67,102,North India
Rajasthan,Udaipur,2023-06-11 14:00:00,Groundnut,Flowering,34.5,56.8,2.0,5.9,317.6,49.3,33.4,5.6,ON,NPK,MEDIUM,83,118,North India
Haryana,Karnal,2024-08-19 14:00:00,Wheat,Flowering,23.0,54.4,5.9,1.2,242.9,46.0,19.3,5.8,ON,MOP,HIGH,57,148,North India
Meghalaya,Shillong,2024-04-01 18:00:00,Potato,Maturity,19.1,67.6,7.9,2.3,464.1,55.4,17.3,6.0,ON,NPK,MEDIUM,76,128,Northeast India
Kerala,Thrissur,2023-06-30 11:00:00,Rice,Fruiting,33.2,84.4,11.3,1.6,497.5,76.9,31.1,6.4,OFF,NONE,HIGH,70,91,South India
Rajasthan,Bikaner,2024-11-21 11:00:00,Wheat,Flowering,14.7,65.3,5.8,5.7,522.7,39.7,13.6,6.5,OFF,NPK,MEDIUM,87,103,North India
Gujarat,Anand,2024-01-18 06:00:00,Tobacco,Germination,26.8,50.1,4.8,2.1,673.8,52.7,23.9,6.5,OFF,NPK,MEDIUM,76,94,West India
Maharashtra,Nagpur,2023-05-02 06:00:00,Cotton,Vegetative,35.0,54.8,1.8,1.3,336.5,41.1,31.4,6.5,OFF,NPK,HIGH,67,120,West India
Punjab,Bathinda,2023-09-18 15:00:00,Maize,Fruiting,27.9,51.1,0.2,0.8,604.3,57.5,24.0,6.0,OFF,UREA,MEDIUM,82,136,North India
Tripura,Udaipur,2024-04-25 05:00:00,Mustard,Maturity,21.2,53.2,3.4,6.5,395.4,49.6,19.4,6.8,OFF,NPK,HIGH,64,149,Northeast India
Telangana,Warangal,2024-01-21 13:00:00,Soybean,Seedling,25.7,77.6,2.6,2.2,573.9,39.4,23.5,7.0,OFF,UREA,HIGH,54,129,South India
Assam,Guwahati,2023-12-12 23:00:00,Mustard,Flowering,12.8,53.0,4.5,2.0,234.2,36.4,11.8,7.1,OFF,MOP,HIGH,69,93,Northeast India
Mizoram,Champhai,2023-05-14 02:00:00,Ginger,Harvest,24.2,61.9,8.2,2.6,601.9,51.0,21.1,6.8,ON,ORGANIC,LOW,70,126,Northeast India
Jharkhand,Jamshedpur,2024-03-15 07:00:00,Maize,Germination,31.8,53.9,3.6,5.1,783.8,43.4,30.7,6.0,ON,DAP,LOW,85,105,East India
Maharashtra,Aurangabad,2023-12-23 07:00:00,Wheat,Vegetative,19.2,57.3,2.8,2.3,712.2,40.8,17.0,6.1,OFF,NPK,MEDIUM,86,130,West India
Uttar Pradesh,Varanasi,2024-01-05 15:00:00,Sugarcane,Vegetative,37.8,76.9,9.0,2.6,576.2,50.4,34.7,6.9,OFF,MOP,LOW,80,116,North India
Bihar,Patna,2024-04-04 14:00:00,Maize,Seedling,32.8,60.3,3.9,2.2,350.2,61.7,29.0,6.9,ON,UREA,MEDIUM,83,160,East India
Tripura,Udaipur,2024-06-14 07:00:00,Pineapple,Fruiting,21.9,82.1,7.0,3.2,462.5,50.7,19.4,4.6,ON,NONE,HIGH,61,168,Northeast India
Punjab,Amritsar,2024-03-27 13:00:00,Sugarcane,Harvest,39.0,69.5,11.7,0.6,329.4,65.4,36.8,6.2,OFF,SSP,MEDIUM,67,93,North India
Himachal Pradesh,Solan,2024-07-12 22:00:00,Maize,Flowering,26.6,65.0,3.0,4.5,392.1,58.2,23.1,7.0,OFF,NONE,HIGH,59,93,North India
Gujarat,Ahmedabad,2024-01-18 13:00:00,Wheat,Germination,17.3,52.7,5.3,4.8,518.2,40.0,15.8,6.3,ON,DAP,LOW,69,152,West India
Maharashtra,Aurangabad,2024-07-04 14:00:00,Soybean,Germination,25.4,61.8,6.9,2.8,439.7,45.8,23.8,7.0,OFF,MOP,HIGH,56,180,West India
Madhya Pradesh,Ujjain,2023-05-17 05:00:00,Soybean,Germination,25.5,63.5,6.1,4.0,441.2,49.9,22.2,6.5,ON,MOP,LOW,65,180,Central India
Gujarat,Vadodara,2023-10-08 09:00:00,Castor,Harvest,27.5,56.1,4.9,5.3,666.6,41.9,23.8,7.2,OFF,UREA,LOW,86,162,West India
Punjab,Amritsar,2023-05-15 09:00:00,Sugarcane,Vegetative,30.5,69.4,8.6,4.9,542.0,49.7,28.7,6.0,ON,MOP,LOW,82,116,North India
Telangana,Warangal,2024-06-10 19:00:00,Sugarcane,Seedling,25.8,62.3,7.9,5.2,586.8,67.5,22.7,6.1,ON,MOP,LOW,79,145,South India
Karnataka,Bengaluru,2023-03-24 08:00:00,Groundnut,Flowering,25.7,61.9,0.9,3.4,744.5,49.8,21.9,6.9,ON,SSP,MEDIUM,77,148,South India
Himachal Pradesh,Dharamshala,2024-04-02 00:00:00,Potato,Seedling,17.4,65.6,5.7,4.4,793.3,64.0,15.7,5.9,ON,MOP,LOW,71,96,North India
Madhya Pradesh,Jabalpur,2023-07-20 23:00:00,Maize,Vegetative,30.8,62.9,4.6,2.0,200.7,37.5,27.7,6.5,ON,UREA,LOW,82,133,Central India
Bihar,Gaya,2023-01-30 04:00:00,Maize,Flowering,23.5,64.6,7.2,3.5,207.5,63.1,20.1,6.4,OFF,ORGANIC,MEDIUM,88,103,East India
Maharashtra,Nagpur,2023-01-08 16:00:00,Wheat,Flowering,16.2,76.8,2.0,1.5,744.6,52.5,12.6,7.2,ON,NPK,LOW,76,97,West India
West Bengal,Asansol,2024-08-09 16:00:00,Jute,Vegetative,26.5,75.6,5.2,0.7,402.6,75.2,24.4,5.9,OFF,MOP,LOW,83,135,East India
Rajasthan,Ajmer,2024-01-31 20:00:00,Bajra,Fruiting,25.8,30.6,3.1,3.7,423.3,41.2,22.7,6.9,ON,DAP,MEDIUM,73,100,North India
Kerala,Thrissur,2024-07-21 23:00:00,Pepper,Harvest,28.1,69.7,10.4,1.4,483.3,58.5,25.1,5.2,ON,DAP,MEDIUM,75,169,South India
Himachal Pradesh,Dharamshala,2024-11-04 12:00:00,Wheat,Harvest,21.7,46.1,2.5,2.4,694.9,50.4,17.9,6.9,OFF,NONE,LOW,73,164,North India
Karnataka,Bengaluru,2023-06-10 12:00:00,Groundnut,Harvest,30.5,44.5,3.2,1.9,331.3,46.6,27.2,5.3,OFF,MOP,HIGH,55,115,South India
Maharashtra,Kolhapur,2023-02-20 22:00:00,Wheat,Harvest,18.7,66.9,1.4,4.2,278.7,31.0,14.7,7.0,OFF,SSP,LOW,71,156,West India
Bihar,Patna,2024-02-07 05:00:00,Rice,Maturity,33.3,92.8,10.7,1.2,740.5,57.8,29.3,5.9,OFF,MOP,HIGH,59,116,East India
Haryana,Panipat,2024-01-20 19:00:00,Sugarcane,Harvest,30.9,74.2,8.2,6.2,302.5,72.1,28.3,7.5,OFF,DAP,HIGH,64,123,North India
Karnataka,Belagavi,2023-08-24 08:00:00,Maize,Flowering,24.8,73.3,3.0,1.1,432.1,44.6,23.3,6.4,ON,DAP,HIGH,72,113,South India
Bihar,Gaya,2024-08-05 09:00:00,Maize,Germination,23.9,50.0,2.5,4.0,547.2,53.6,19.9,5.7,OFF,NONE,LOW,81,150,East India
Andhra Pradesh,Nellore,2024-03-21 07:00:00,Groundnut,Fruiting,27.4,74.1,5.6,2.0,243.8,54.8,24.6,6.3,ON,ORGANIC,HIGH,74,125,South India
Haryana,Karnal,2024-10-21 12:00:00,Mustard,Germination,13.9,57.3,2.5,1.9,436.7,37.3,12.6,6.3,ON,NPK,HIGH,65,172,North India
Gujarat,Anand,2024-11-07 19:00:00,Groundnut,Harvest,32.9,49.6,3.3,5.0,279.5,51.7,29.8,6.8,ON,NONE,LOW,72,171,West India
Tamil Nadu,Tiruchirappalli,2023-11-10 19:00:00,Banana,Vegetative,24.6,71.6,11.4,1.2,644.3,63.8,22.6,6.2,OFF,NPK,HIGH,67,113,South India
Karnataka,Mangaluru,2023-07-05 11:00:00,Sugarcane,Seedling,36.5,74.3,12.0,3.5,240.4,53.4,35.1,6.8,OFF,MOP,MEDIUM,64,137,South India
Haryana,Hisar,2024-08-01 16:00:00,Rice,Harvest,26.1,88.0,8.0,3.9,758.4,57.0,22.9,6.1,OFF,ORGANIC,HIGH,54,168,North India
Manipur,Churachandpur,2024-02-27 15:00:00,Maize,Fruiting,29.8,73.5,1.0,2.6,727.1,44.2,27.4,6.7,OFF,DAP,LOW,84,143,Northeast India
Telangana,Karimnagar,2023-08-08 20:00:00,Sugarcane,Vegetative,29.8,61.8,11.1,5.5,276.0,49.0,28.0,6.8,OFF,MOP,MEDIUM,83,147,South India
Punjab,Amritsar,2023-01-02 19:00:00,Cotton,Vegetative,28.6,58.6,1.6,2.4,747.0,42.5,24.7,6.6,ON,DAP,MEDIUM,83,161,North India
Uttar Pradesh,Varanasi,2024-03-17 07:00:00,Potato,Vegetative,22.8,83.5,8.4,2.3,492.6,51.7,19.7,5.8,ON,DAP,HIGH,57,100,North India
Tamil Nadu,Madurai,2024-11-24 21:00:00,Cotton,Vegetative,31.7,66.5,2.7,6.4,467.0,44.2,28.7,7.8,ON,NPK,HIGH,63,140,South India
Assam,Silchar,2023-05-17 14:00:00,Mustard,Flowering,11.0,57.7,6.5,5.7,799.5,51.2,7.1,7.5,OFF,NONE,LOW,91,173,Northeast India
Karnataka,Hubballi,2023-07-17 19:00:00,Maize,Maturity,19.7,56.0,5.8,1.6,360.8,55.1,16.2,6.1,OFF,NONE,LOW,70,137,South India
Tamil Nadu,Tiruchirappalli,2024-01-20 08:00:00,Banana,Germination,36.3,87.1,5.3,4.3,437.6,58.9,32.5,5.5,OFF,UREA,LOW,67,95,South India
Rajasthan,Bikaner,2023-05-07 00:00:00,Bajra,Germination,34.1,63.8,3.0,4.8,229.6,43.7,32.8,7.5,OFF,SSP,MEDIUM,65,140,North India
Uttar Pradesh,Allahabad,2023-06-16 12:00:00,Potato,Vegetative,19.1,72.0,3.8,4.9,449.8,50.9,16.9,6.6,OFF,NONE,MEDIUM,74,131,North India
Meghalaya,Tura,2024-04-11 11:00:00,Ginger,Vegetative,21.9,84.6,6.2,4.4,312.1,69.1,20.8,6.2,OFF,DAP,HIGH,51,94,Northeast India
Punjab,Amritsar,2024-05-12 03:00:00,Cotton,Maturity,25.9,67.2,3.1,1.5,498.2,55.8,23.3,6.6,ON,NONE,HIGH,70,111,North India
Punjab,Patiala,2023-05-21 12:00:00,Maize,Germination,26.4,69.3,3.4,2.3,259.0,37.2,22.8,6.4,ON,SSP,LOW,65,155,North India
West Bengal,Bardhaman,2024-07-01 11:00:00,Mustard,Germination,11.2,63.2,2.8,5.9,207.7,38.0,10.0,6.6,OFF,ORGANIC,HIGH,58,132,East India
Maharashtra,Solapur,2023-09-21 13:00:00,Onion,Flowering,21.0,54.2,4.5,1.7,757.8,42.5,19.4,7.1,OFF,DAP,LOW,71,142,West India
Gujarat,Junagadh,2023-11-19 19:00:00,Wheat,Flowering,22.6,52.2,2.5,3.5,236.2,57.7,21.4,6.6,OFF,NPK,MEDIUM,92,95,West India
Tamil Nadu,Coimbatore,2023-06-28 10:00:00,Cotton,Flowering,33.8,51.5,4.0,0.5,553.6,39.3,32.1,7.0,ON,NONE,HIGH,59,127,South India
Andhra Pradesh,Vijayawada,2023-12-04 19:00:00,Rice,Harvest,32.4,88.0,8.6,1.9,542.1,63.4,29.0,6.5,OFF,MOP,HIGH,63,162,South India
Gujarat,Rajkot,2023-02-17 03:00:00,Tobacco,Seedling,28.5,71.4,5.1,2.0,715.4,47.2,26.0,5.9,OFF,NONE,HIGH,59,124,West India
Jharkhand,Dhanbad,2023-04-03 01:00:00,Rice,Harvest,26.3,80.4,11.2,1.8,327.8,75.3,23.9,5.6,ON,NPK,LOW,81,95,East India
Punjab,Ludhiana,2024-05-13 14:00:00,Maize,Harvest,30.3,63.6,5.3,3.1,312.4,41.1,27.9,6.4,OFF,MOP,MEDIUM,89,131,North India
Rajasthan,Ajmer,2024-04-18 16:00:00,Chickpea,Germination,27.6,46.9,4.7,2.8,693.2,37.5,25.5,7.5,OFF,ORGANIC,HIGH,64,111,North India
Tamil Nadu,Tiruchirappalli,2024-11-02 18:00:00,Cotton,Harvest,32.5,44.3,4.7,1.8,220.4,29.8,29.6,7.5,ON,NONE,HIGH,65,112,South India
Madhya Pradesh,Ujjain,2023-02-22 00:00:00,Chickpea,Maturity,17.3,63.7,0.7,1.0,570.8,53.4,15.9,7.4,OFF,MOP,LOW,70,95,Central India
Jharkhand,Jamshedpur,2024-11-25 10:00:00,Pulses,Maturity,31.5,48.9,5.7,1.7,280.8,54.4,28.5,6.4,OFF,NPK,MEDIUM,74,134,East India
Sikkim,Gangtok,2023-03-31 23:00:00,Rice,Vegetative,24.4,87.5,9.1,2.1,519.4,57.8,22.1,5.8,OFF,SSP,MEDIUM,77,90,Northeast India
Karnataka,Belagavi,2023-05-15 08:00:00,Ragi,Fruiting,21.2,54.4,0,0.7,503.4,34.0,19.5,6.6,OFF,NONE,LOW,76,119,South India
Karnataka,Hubballi,2023-03-03 08:00:00,Groundnut,Vegetative,30.9,77.0,3.5,3.2,424.3,52.4,28.4,5.9,OFF,NPK,LOW,91,115,South India
Tamil Nadu,Erode,2023-07-04 08:00:00,Turmeric,Seedling,30.1,66.9,5.7,2.3,438.9,47.7,27.3,6.1,OFF,NPK,MEDIUM,75,165,South India
Andhra Pradesh,Nellore,2024-02-25 06:00:00,Tobacco,Maturity,19.4,65.2,4.0,4.5,687.4,53.4,17.9,6.4,ON,UREA,MEDIUM,71,132,South India
Telangana,Karimnagar,2024-06-14 19:00:00,Rice,Germination,33.6,87.7,10.2,0.7,551.9,78.0,30.4,6.7,ON,DAP,HIGH,78,134,South India
Haryana,Panipat,2023-05-03 22:00:00,Sugarcane,Germination,28.9,67.6,3.9,5.1,331.7,69.0,25.3,7.1,ON,UREA,HIGH,69,171,North India
Haryana,Ambala,2023-06-20 00:00:00,Cotton,Vegetative,25.1,39.1,5.1,4.8,762.5,48.2,23.1,6.7,ON,DAP,HIGH,70,92,North India
Punjab,Amritsar,2024-07-12 15:00:00,Sugarcane,Vegetative,27.5,64.0,6.7,2.0,602.6,68.4,24.6,5.8,ON,NONE,LOW,84,164,North India
Andhra Pradesh,Vijayawada,2024-08-16 02:00:00,Chilli,Vegetative,23.9,70.0,1.5,3.5,760.3,55.3,20.6,6.5,ON,NONE,LOW,77,133,South India
Bihar,Bhagalpur,2024-04-11 20:00:00,Lentil,Maturity,17.8,61.3,0.9,3.9,610.2,38.8,14.0,6.2,ON,UREA,HIGH,63,106,East India
Gujarat,Rajkot,2024-08-12 02:00:00,Cotton,Germination,23.3,54.8,3.0,5.9,438.8,35.0,22.3,6.3,OFF,UREA,HIGH,56,150,West India
Punjab,Ludhiana,2024-11-21 05:00:00,Sugarcane,Harvest,25.0,83.2,3.3,3.4,257.2,71.6,22.0,6.6,OFF,NONE,HIGH,55,169,North India
Rajasthan,Ajmer,2024-07-31 13:00:00,Wheat,Flowering,16.4,51.3,5.5,5.8,413.2,60.9,12.6,7.4,ON,NPK,LOW,66,156,North India
Goa,Panaji,2024-11-03 19:00:00,Coconut,Maturity,35.4,77.4,12.0,1.7,533.0,59.2,31.8,6.7,OFF,ORGANIC,LOW,93,154,West India
Tamil Nadu,Coimbatore,2023-09-10 05:00:00,Turmeric,Fruiting,24.7,77.7,8.1,2.1,670.6,54.9,23.2,7.1,OFF,NPK,HIGH,57,127,South India
Karnataka,Mangaluru,2023-02-05 15:00:00,Sugarcane,Maturity,30.1,85.4,8.1,1.3,321.8,66.3,28.3,6.8,OFF,DAP,MEDIUM,80,158,South India
Uttar Pradesh,Kanpur,2023-11-10 00:00:00,Maize,Harvest,30.7,75.2,5.7,1.9,444.3,58.7,27.0,6.1,ON,DAP,MEDIUM,70,153,North India
Rajasthan,Jodhpur,2023-05-21 06:00:00,Mustard,Maturity,12.8,62.5,4.1,5.1,220.3,40.6,10.8,6.7,OFF,UREA,LOW,72,103,North India
West Bengal,Siliguri,2023-07-27 09:00:00,Tea,Maturity,26.8,97.7,11.5,1.4,227.7,66.2,24.6,5.2,ON,ORGANIC,HIGH,72,126,East India
Uttar Pradesh,Meerut,2024-09-17 00:00:00,Mustard,Vegetative,12.9,63.0,1.1,2.8,202.3,37.5,10.4,6.2,OFF,UREA,MEDIUM,85,100,North India
Punjab,Patiala,2023-04-13 00:00:00,Maize,Flowering,21.3,70.3,5.7,5.3,409.2,60.3,20.2,6.7,OFF,NPK,MEDIUM,82,168,North India
Meghalaya,Tura,2023-05-29 17:00:00,Maize,Fruiting,25.8,62.1,1.5,3.5,314.9,49.2,22.4,6.5,ON,ORGANIC,MEDIUM,75,136,Northeast India
Tamil Nadu,Madurai,2023-02-13 12:00:00,Sugarcane,Fruiting,30.4,78.6,13.6,6.5,676.1,59.8,29.2,6.3,OFF,UREA,LOW,90,107,South India
Kerala,Thrissur,2024-11-08 01:00:00,Rubber,Vegetative,29.9,92.7,8.1,2.4,303.3,75.1,26.5,5.2,ON,SSP,LOW,89,172,South India
Andhra Pradesh,Nellore,2023-06-14 18:00:00,Chilli,Vegetative,29.3,70.3,3.6,3.6,520.1,42.4,27.6,7.0,OFF,NPK,HIGH,74,115,South India
Andhra Pradesh,Visakhapatnam,2024-10-04 00:00:00,Tobacco,Germination,27.0,60.8,4.6,5.9,255.7,48.9,24.9,6.6,ON,NONE,LOW,75,170,South India
Uttar Pradesh,Agra,2023-09-17 00:00:00,Maize,Maturity,25.8,69.7,1.9,0.7,754.5,45.0,23.6,6.7,ON,ORGANIC,MEDIUM,82,106,North India
Himachal Pradesh,Dharamshala,2023-05-04 20:00:00,Potato,Flowering,20.1,66.8,3.3,3.8,277.8,55.2,17.1,5.5,OFF,MOP,LOW,89,93,North India
Maharashtra,Kolhapur,2024-10-09 03:00:00,Rice,Fruiting,33.8,70.0,10.9,4.1,727.2,56.9,32.7,5.4,OFF,ORGANIC,LOW,88,148,West India
Jharkhand,Dhanbad,2023-11-22 01:00:00,Pulses,Flowering,16.4,48.0,4.2,5.4,799.5,38.5,14.1,6.6,ON,UREA,MEDIUM,63,147,East India
Haryana,Rohtak,2023-01-13 17:00:00,Rice,Germination,28.3,85.3,7.0,3.2,756.4,62.5,25.5,6.1,ON,NONE,LOW,68,172,North India
Madhya Pradesh,Indore,2024-07-31 07:00:00,Wheat,Harvest,22.1,43.5,1.9,2.8,708.5,50.7,19.4,6.4,ON,SSP,LOW,89,165,Central India
Gujarat,Rajkot,2023-10-26 18:00:00,Cotton,Germination,36.7,53.4,4.2,1.3,704.2,54.8,34.8,7.8,OFF,NPK,MEDIUM,51,160,West India
Telangana,Khammam,2024-09-22 14:00:00,Chilli,Fruiting,31.1,62.2,3.5,6.4,347.8,41.3,29.7,5.8,ON,NONE,MEDIUM,77,125,South India
Madhya Pradesh,Jabalpur,2024-02-04 00:00:00,Soybean,Fruiting,19.0,71.4,4.0,4.0,266.7,46.5,16.8,6.0,OFF,NONE,HIGH,54,150,Central India
Nagaland,Dimapur,2023-01-06 05:00:00,Rice,Vegetative,29.0,82.2,6.3,4.8,323.5,57.8,27.2,6.3,OFF,MOP,HIGH,66,175,Northeast India
Maharashtra,Nashik,2024-10-16 18:00:00,Onion,Fruiting,14.1,46.9,5.0,0.8,482.7,53.8,11.9,6.3,ON,NPK,HIGH,55,126,West India
Madhya Pradesh,Indore,2023-03-21 00:00:00,Chickpea,Vegetative,23.5,43.4,4.0,5.9,553.3,40.0,20.3,7.1,OFF,ORGANIC,LOW,67,121,Central India
Andhra Pradesh,Visakhapatnam,2023-11-21 10:00:00,Tobacco,Seedling,32.6,61.1,1.3,0.7,293.4,45.1,31.5,6.3,OFF,UREA,MEDIUM,79,150,South India
